Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2022.06.16 20:37:32.0611,0.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.68,18.61,39.8,20.7,2022/06/16,17:02:27,68.6844703,60.892324,-46.578,5,
2022.06.16 20:37:32.0775,0.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.66,18.7,39.8,20.68,2022/06/16,17:02:28,68.6844682,60.892324,-46.587,5,
2022.06.16 20:37:32.1094,0.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.64,18.69,39.7,20.67,2022/06/16,17:02:29,68.6844542,60.892323,-45.989,5,
2022.06.16 20:37:32.1320,0.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.66,18.69,39.7,20.66,2022/06/16,17:02:30,68.6844389,60.8923221,-45.253,5,
2022.06.16 20:37:32.1665,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.7,18.58,39.6,20.64,2022/06/16,17:02:31,68.6844583,60.8923246,-46.327,5,
2022.06.16 20:37:32.1823,0.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.64,18.4,39.5,20.64,2022/06/16,17:02:32,68.6844459,60.8923234,-45.906,5,
2022.06.16 20:37:32.2146,0.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.67,18.29,39.4,20.59,2022/06/16,17:02:33,68.6844491,60.8923241,-46.161,5,
2022.06.16 20:37:32.2308,0.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.67,18.35,39.4,20.57,2022/06/16,17:02:34,68.6844434,60.8923227,-45.757,5,
2022.06.16 20:37:32.2633,0.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.68,18.24,39.2,20.51,2022/06/16,17:02:35,68.6844308,60.8923204,-45.116,5,
2022.06.16 20:37:32.2970,0.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.68,18.17,39.1,20.49,2022/06/16,17:02:36,68.684425,60.8923188,-44.885,5,
2022.06.16 20:37:32.3112,1.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.67,18.13,39,20.46,2022/06/16,17:02:37,68.684437,60.8923187,-45.282,5,
2022.06.16 20:37:32.3432,1.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.63,17.98,38.9,20.42,2022/06/16,17:02:38,68.6844545,60.8923203,-46.074,5,
2022.06.16 20:37:32.3598,1.050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.67,17.84,38.7,20.35,2022/06/16,17:02:39,68.6825673,60.8921518,41.374,7,
2022.06.16 20:37:32.3969,1.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.65,17.68,38.6,20.29,2022/06/16,17:02:40,68.6825515,60.8921472,42.108,7,
2022.06.16 20:37:32.4276,1.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.66,17.67,38.7,20.27,2022/06/16,17:02:41,68.6825464,60.8921448,42.448,7,
2022.06.16 20:37:32.4444,1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.59,17.31,38.7,20.16,2022/06/16,17:02:42,68.6825546,60.8921484,42.606,7,
2022.06.16 20:37:32.4775,1.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.48,17.1,38.7,19.98,2022/06/16,17:02:43,68.6825223,60.8921362,45.814,7,
2022.06.16 20:37:32.4972,1.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.5,17.06,38.8,19.88,2022/06/16,17:02:44,68.6825049,60.8921378,46.208,7,
2022.06.16 20:37:32.5258,1.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.48,17.18,38.9,19.86,2022/06/16,17:02:45,68.6825026,60.8921376,45.781,7,
2022.06.16 20:37:32.5576,1.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.46,17.34,38.6,19.83,2022/06/16,17:02:46,68.6824976,60.8921358,45.748,7,
2022.06.16 20:37:32.5738,1.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.44,17.52,38.1,19.81,2022/06/16,17:02:47,68.6824869,60.8921285,46.266,7,
2022.06.16 20:37:32.6064,1.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.45,17.62,37.7,19.81,2022/06/16,17:02:48,68.6824775,60.892132,45.868,7,
2022.06.16 20:37:32.6326,1.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.47,17.58,37.4,19.77,2022/06/16,17:02:49,68.6824743,60.8921354,44.797,7,
